highest_temperature,type_of_food,food_hot_level,food_spicy_level,food_name
14,한식,1,0,닭강정백반
19,아시안,1,0,베트남돼지구이백반
22,한식,1,0,춘천식 닭갈비
21,한식,1,0,서울식불고기
22,한식,1,0,갈비치킨백반
15,한식,1,1,돼지불백백반
15,한식,1,1,고추장제육백반
19,한식,1,0,육회비빔밥백반
24,한식,1,0,경양식함박 스테이크 백반
21,한식,1,2,매운닭찜
15,양식,1,0,그릴드 목살 스테이크
18,한식,1,2,매운닭찜 & LA갈비
19,한식,1,1,매콤소불고기백반
19,한식,1,1,쭈꾸미 삼겹구이
25,한식,1,0,우삼겹 깍두기 볶음밥
29,중식,1,0,유린기 정식
29,한식,1,0,마늘보쌈
15,양식,1,1,아마트리치아나 파스타
18,한식,1,0,수제 떡갈비
19,일식,1,1,핫치킨 고로케
14,중식,1,0,탕수육
20,한식,1,0,점보닭다리오븐구이
0,중식,2,0,마파두부
22,아시안,1,0,태국식삼겹볶음백반
24,한식,1,0,부채살스테이크백반
25,한식,1,0,파불고기백반
25,한식,1,0,버섯소불고기
28,일식,1,0,일본식 차슈 덮밥
24,한식,1,0,간장닭볶음탕백반
18,한식,1,0,황태 고추장 구이
15,양식,1,1,레드미트볼백반
-2,한식,2,1,닭볶음탕
16,아시안,1,1,제육볶음 & 해산물팟타이
-1,한식,2,1,김치 제육 볶음
10,한식,1,0,항정살 된장구이 덮밥
7,한식,1,0,크림불고기백반
8,일식,1,0,닭날개데리야끼백반
11,한식,1,1,매운 닭구이와 꿀마늘 소스
14,한식,1,1,김치제육볶음
22,한식,1,0,춘천식닭갈비
-3,중식,2,0,마파두부덮밥
27,한식,1,0,서울식소불고기
20,한식,1,0,통삼겹구이와김치찜
-6,한식,2,0,능이닭백숙
15,한식,1,0,매콤오븐닭구이
18,한식,1,0,오삼불고기
18,한식,1,0,언양식바싹불고기
19,중식,1,0,유린기
20,한식,1,0,버섯떡갈비
24,일식,1,0,로스트데리야끼치킨
22,한식,1,1,고추장오겹두루치기
20,한식,1,0,전라도한상
28,한식,1,0,오븐닭구이
-1,한식,2,1,매운돼지갈비찜
30,한식,1,0,순살갈릭양념치킨
29,일식,1,0,소고기데리야끼볶음
29,한식,1,0,미나리삼겹구이
30,한식,1,1,된장제육볶음
24,한식,1,1,숯불닭갈비
19,한식,1,1,고추장소고기볶음
-8,한식,2,0,소고기우거지해장국
16,일식,1,0,데리야끼치킨윙조림
24,중식,1,0,동파육
19,양식,0,0,햄치즈크로와상
14,한식,2,1,돼지고기김치찜
15,한식,1,1,훈제오리주물럭
19,한식,1,0,불고기랩
-4,한식,2,0,시골된장찌개
21,한식,1,0,수제떡갈비
26,한식,1,0,차돌박이영양부추무침
15,한식,2,0,영양돼지갈비찜
17,한식,1,0,매콤소불고기
13,한식,1,1,오겹두루치기
14,한식,1,0,소고기궁중떡볶이
-8,한식,2,0,닭개장
-7,한식,2,0,능이버섯삼계탕
25,한식,0,0,연어회덮밥
24,양식,1,0,쉬림프또띠아
17,한식,1,0,광양식소불고기
15,한식,1,0,숯불닭구이
19,한식,1,0,블랙알리오닭튀김
21,한식,1,0,삼겹살케일볶음
-2,한식,2,2,매콤찜닭
18,중식,1,0,꿔바로우탕수육
19,일식,1,0,된장차슈
17,한식,1,0,유자떡갈비
19,한식,1,1,낙지볶음
24,일식,1,0,오야꼬동
23,한식,1,1,돼지고기두루치기
23,한식,1,0,소고기찹스테이크
25,한식,0,0,꿀마늘보쌈
21,한식,1,0,고구마돈까스
1,한식,2,0,순살간장찜닭
13,한식,1,2,치즈불닭
16,한식,1,0,간장오리훈제두루치기
0,한식,2,2,매콤돼지갈비찜
17,한식,1,0,소고기관자볶음
15,한식,1,1,돼지불백
22,양식,0,0,새우포케볼
26,한식,1,0,오븐로스트닭구이
25,한식,1,1,돼지고기두부김치
26,한식,1,1,고추장소불고기
21,한식,1,0,양념치킨
21,한식,1,0,강원도한상
18,한식,1,0,돼지고기생강구이
22,한식,1,0,들깨숙주소고기볶음
19,일식,1,0,수제등심돈가스
19,중식,1,0,궁보계정
19,일식,1,0,히레까스
21,한식,1,1,양념닭갈비볶음
20,한식,1,0,강릉초당순두부백반
19,일식,1,0,데리야끼연어구이
18,한식,1,1,오리고기두루치기
2,한식,2,0,소갈비찜
16,한식,1,0,미소닭날개조림
14,한식,1,0,간장제육볶음
17,한식,1,0,소고기버섯완자
17,한식,1,1,제육볶음
15,일식,1,0,돼지고기쇼가야키
-1,한식,2,1,소고기김치찜
0,한식,2,1,안동찜닭
22,일식,1,0,데리야끼규동
16,일식,1,0,미소돼지볶음
15,한식,0,0,연어장덮밥
13,한식,1,2,매콤숯불닭갈비
14,한식,2,0,짜장닭찜
19,한식,1,0,미나리오겹두루치기
18,한식,1,0,갈비치킨
15,한식,1,0,마늘쫑불고기
22,양식,1,0,알리오치킨윙
18,한식,1,0,돼지고기부추잡채 & 꽃빵
14,중식,1,0,칠리새우
10,중식,1,0,중화돼지고기볶음
14,한식,1,0,산채비빔밥
15,한식,1,1,고추마요닭튀김
-3,한식,2,1,황태콩나물해장국
13,한식,1,0,훈제오리두루치기
17,한식,1,0,크림불고기
18,한식,1,0,소고기오징어볶음
-1,한식,2,1,주꾸미삼겹
22,한식,1,1,깻잎된장제육볶음
21,한식,1,1,돼지삼겹살김치볶음
15,한식,1,1,고추장들깨돼지고기볶음
17,한식,1,0,새싹보리비빔밥
17,중식,1,0,돼지고기 어향가지
-5,한식,2,1,목살구이와김치찜
19,중식,1,0,깐풍기
-8,한식,2,1,얼큰장터국밥
19,중식,1,0,몽골리안 소고기볶음
15,한식,1,0,치즈돈까스
17,중식,1,0,난자완스
23,중식,1,0,중화오겹볶음
25,한식,1,0,언양식 불고기
24,일식,1,0,미소닭구이
16,한식,1,0,강원도곤드레비빔밥
24,양식,0,0,하와이안로코모코
24,한식,1,0,제주도한상
30,한식,0,0,오리고기냉채
30,한식,0,0,오향닭구이샐러드
29,양식,0,0,연어포케볼
8,한식,1,0,맥적
11,한식,1,0,양념치킨윙
15,한식,1,1,소고기순대볶음
17,양식,1,0,연어스테이크
21,한식,1,0,소고기숙주볶음
5,한식,2,0,간장찜닭
24,한식,1,0,고추장콩나물소불고기
26,한식,1,0,가자미구이
25,한식,1,1,간장오리훈제주물럭
4,한식,2,1,닭도리탕
4,한식,2,1,부추닭도리탕
28,한식,1,0,콩불
19,중식,1,0,돼지고기부추볶음&꽃빵
14,한식,1,0,육회비빔밥
18,한식,1,0,된장들깨돼지고기볶음
22,중식,1,0,레몬새우
23,한식,1,0,된장돼지고기볶음
28,한식,1,0,마늘쫑돼지고기볶음
21,한식,1,0,소고기산채비빔밥
24,일식,1,0,에비동덮밥
24,아시안,0,0,껌승
14,한식,1,0,주꾸미삼겹백반
15,한식,1,0,간장닭강정
15,한식,0,0,꼬막무침
-10,한식,2,0,갈비탕
22,양식,1,0,돼지고기중화볶음
25,양식,1,0,허니머스타드로스트치킨
24,한식,1,0,논우렁강된장정식
24,아시안,1,0,태국식돼지고기바질볶음
23,한식,1,0,경기도팔도밥상
10,한식,1,0,돼지고기수육
7,한식,2,1,꽁치김치찜
15,한식,1,0,오리훈제주물럭
4,한식,2,0,소고기찜
3,한식,2,1,김치닭도리탕
6,한식,2,0,돼지갈비찜
4,양식,2,0,스파이시로스트치킨그라탕
17,양식,1,0,토마토볼로네제스파게티
24,한식,1,0,알싸한마늘치킨
22,한식,1,1,삼겹살김치볶음
20,한식,1,0,숙주돼지고기볶음
24,일식,1,0,일본식소고기볶음
21,양식,0,0,새우패티샌드위치
19,일식,1,0,돈까스덮밥
15,한식,1,2,매운닭구이
19,한식,1,0,돼지고기튀김
22,한식,1,0,버섯불고기
32,아시안,0,0,분짜
29,아시안,1,0,쏘이닭튀김
25,아시안,1,0,쏘이치킨
21,양식,1,0,해산물비스큐볶음
21,한식,1,1,오삼두루치기
22,한식,1,1,김치오겹두루치기
21,한식,1,0,미나리돈두루치기
11,아시안,2,1,마크니커리
24,한식,1,0,들깨돈불고기
22,한식,1,1,오삼제육볶음
11,한식,1,0,돔베고기
15,한식,1,0,고등어구이
19,한식,1,0,돼지고기짜장볶음
22,한식,1,0,간장마늘치킨
22,한식,1,0,충청도식시골밥상
19,한식,1,2,매콤소고기숙주볶음
2,한식,2,1,시래기등갈비찜
21,아시안,1,0,나시고랭볶음밥
19,한식,1,1,고추장제육볶음
18,양식,1,0,오징어튀김&라임아이올리소스
19,중식,1,0,중화닭가슴살볶음
24,한식,1,0,닭강정
24,일식,1,0,데리야끼닭갈비
18,한식,1,0,약고추장산채나물비빔밥
-4,한식,2,0,소고기육개장
18,한식,1,0,마늘쫑오겹살볶음
25,한식,1,0,블랙빈소고기볶음
24,양식,0,0,베이컨감자베이글
28,한식,1,1,오징어볶음
22,한식,1,2,매콤치즈닭갈비
20,한식,1,1,콩나물불고기
24,중식,1,0,중화삼겹볶음
22,아시안,1,0,태국식돼지고기삼겹볶음
21,한식,1,0,꼬막비빔밥
24,한식,1,0,돼지갈비간장조림
4,한식,2,1,고등어묵은지찜
17,한식,1,0,만두강정
22,한식,1,1,오겹살두루치기
18,일식,1,0,오사카치킨난반
19,일식,1,0,미소닭조림
24,한식,1,0,소고기산적구이
25,한식,1,0,해산물볶음
25,한식,1,0,들깨돼지볶음
16,일식,1,0,새우튀김덮밥
14,양식,1,0,해산물빠에야
17,중식,1,1,소고기마라샹궈볶음
24,한식,1,0,허니콘치킨
19,한식,1,0,BBQ닭갈비볶음
22,한식,1,1,고추장대파돼지불고기
9,한식,2,1,코다리찜
20,양식,1,0,쉬림프&페페로니피자
24,양식,1,0,허브버터로스트치킨
23,양식,1,0,허브오븐로스트치킨
25,양식,1,0,애플글레이즈드포크벨리
24,한식,1,0,간장오징어볶음
16,일식,1,0,돼지고기튀김&타르타르소스
18,한식,1,0,돼지고기어향가지
19,한식,1,1,오리두루치기
20,한식,1,1,고추마요치킨
18,한식,1,0,닭봉조림